Title,Abstract,Methods,Data source,Conclusion
Reputational Sanctions as A Self-regulatory Tool of China’s Stock Exchanges: Recent Developments of the Law and Practice,"This paper thus aims to examine more recent uses of public criticisms by China's two well-established exchanges (namely the SHSE and the SZSE) during the period of 2013 to 2018,17 and based on such examination, draw implications for the debate on the strategy of employing self-regulation of the stock exchanges in the development of China's capital markets. In so doing, the paper will discuss broader issues concerning the role of reputational sanctions in the enforcement of corporate and securities law, the relationship between stock exchanges and the government regulator, as well as the competition between the stock exchanges.",Dataset analysis & interviewing,"SHSE & SZSE websites, CSMAR","This paper focuses on an important yet understudied form of reputational sanctions in the securities market, namely public criticisms imposed by China's stock exchanges over recent years. This serves as a case study to illustrate the regulatory style and rigor of the Chinese stock exchanges, shedding light on broader issues such as the role of reputational sanctions in the enforcement of corporate and securities law, and the strategy of self-regulation of the stock exchanges in the development of China's capital markets."
STABILITY JUSTICE: PETITIONERS VERSUS NON-PETITIONERS IN CHINA'S CRIMINAL ADJUDICATION,"Different from “judicial repression,” stability justice targets ordinary individuals under the guise of formal judicial procedures, to maintain both social stability and governance legitimacy. Drawing on published judgments and the authors' interviews with judges and prosecutors in China, we find that, in conjunction with the gradual abandonment of traditional violent repression strategies, stability justice has been employed as an alternative tool for managing petitioning activities at the local level. Through the covertly biased application of legal rules and procedural norms, petitioners accused of threatening social stability receive longer terms of pre-trial detention, higher rates of detention before politically sensitive periods, longer custodial sentences, and fewer opportunities for probation. Our findings add new fuel to studies on comparative judicial politics and shed light on judicial behavior in contemporary China.",Dataset analysis (regression),China Judgments Online,"This article studies the mechanism of stability justice by analyzing cases arising from accusations of picking quarrels and provoking trouble against petitioner defendants and non-petitioner defendants. Drawing on statistical analyses of published judicial documents, we provide evidence that, while accusations of picking quarrels and provoking trouble follow formal legal procedures and comply with the law, they may serve stability maintenance purposes by creating both procedural and distributive biases. On the procedural aspects, petitioner defendants may receive longer periods of pre-trial detention than other defendants. Petitioners are also more likely to be detained during politically sensitive periods, when local authorities have a stronger motivation to repress petitioning. On the distributive aspects, petitioner defendants may be sentenced to significantly longer custodial sentences and granted fewer opportunities for probation than non-petitioners, with other conditions held constant. The purpose is to take action against “trouble-makers,” to prevent petitioning activities, and to deter potential petitioners. With the deliberate implementation of all the biases, seemingly justified processes are sometimes turned into a tool for containing petitioners and deterring petitioning strategies."
THE JUDGE AS A NEGOTIATOR: CLAIMS NEGOTIATING AND INEQUALITIES IN CHINA'S JUDICIAL MEDIATION,"I propose a three-way model of negotiation on judicial mediation: the judge as a negotiator. Primarily drawing on ethnographic observations of a civil judge in a basic-level court in hinterland China, I document Chinese judges' tactics at the micro level. I find that the Chinese judge not only “expands” and “narrows” claims. In addition, included in her repertoire are “repression,” “conversion,” and “facilitation.” Following this, I explore the inequitable consequences of the judge's apparent success in disposing cases. In negotiating the claims, the judge convinces or cajoles litigants who are economically vulnerable, inexperienced in the courtroom, legally bewildered, or timid in confronting the judges' authority, into the settlement. But she often facilitates the claims of litigants who can mount credible political resistance. The interests of those who are vulnerable in one way or another, but not in a position to initiate political threats, are often dispensed. Inequalities are thus generated, reproduced, and reinforced. This three-way negotiation model provides a new perspective to study judicial mediation comparatively.",Dataset analysis & interviewing,China Law Yearbooks,"This article details a Chinese judge's settlement tactics at the micro level. By repressing, narrowing, converting, expanding, and facilitating claims, judges dispose many of their cases in the name of settlement. When claims are made, the judge's responses are interactive, with constant revision and negotiation. It has thus been demonstrated that the judge is not merely a supervisor of two parties. She herself is an important negotiator. She also sets the agenda for the parties' interaction by drawing on resources of power. While earlier treatments of judicial mediation have implied such a negotiating role for judges (Henderson 1965; Shapiro 1981; Moser 1982; Galanter 1985; Markovits 2002), this article explicitly suggests a three-way model of negotiation."
FROM DATAFICATION TO DATA STATE: MAKING SENSE OF CHINA'S SOCIAL CREDIT SYSTEM AND ITS IMPLICATIONS,"We live in an age of datafication wherein nearly all aspects of our lives can be transformed into data and evaluated. The authors seek to make sense of the heightened datafication-enabled social control under China's Social Credit System (SCS) by developing the concept of the data state. A “data state” is defined as a governance model enabling the state to comprehensively monitor, evaluate, and control its subjects through datafication, leaving them little room to defend their autonomy. We identify the multiple functions of the SCS in its development up to 2020 and analyze its inherent defects, including the decontextualized evaluation of individuals and the semi-automated imposition of disproportionate punishment. We argue that, if the SCS were to fully integrate its functions and connect to other data-driven governance initiatives, it would eventually allow the data self, carefully groomed by the state, to dominate the bio-self and turn China into a data state. Whereas China's SCS may be unique and not easily replicated elsewhere, understanding its intricacies helps to enable the citizens of democratic societies to guard against the relentless growth of datafication that may result in an invincible and irreversible ecosystem for the emergence of a data state.",Legal analysis,,"Above, we discuss the various salient features of China's SCS. The most striking elements of the ambitious SCS system are the state's potential ability to comprehensively evaluate its citizens' datafied behaviors and the grooming of the data self, with the data self taking precedence over and steering the bio-self. In the end, the bio-self may have to learn how to co-exist with a data self that has completely redefined it in practical terms."
THE LAW OF THE SEA AND PRC GRAY-ZONE OPERATIONS IN THE SOUTH CHINA SEA,"This Current Development describes the nature and implications of the PRC gray zone strategy for the law of the sea, including both its international and its domestic components.",Legal analysis,,"This Current Development has called attention to the PRC's use of legal gray zone tactics to change the realities in the South China Sea and--as a conscious objective--to undercut the rule of international law. Two brief observations as to dealing with LOSC-focused gray zone operations in the SCS may be distilled from this analysis. First, one way of reducing the effect of gray zone operations that engineer or leverage legal uncertainties is for other states to coordinate and together take a clear, communicated, pre-emptive legal position on issues of status and incident characterization. Second, states should continue to identify and call out instances in which the PRC attempts to manufacture legal uncertainty in order to set the groundwork for further gray zone operations. Ultimately, PRC gray zone operations in the SCS are not simply a political and strategic challenge; some (but not all) of these operations are also worrying from a legal perspective."
THE FACES OF SECURITIES REGULATION AND STATE AUTHORITY: A COMPARISON BETWEEN THE UNITED STATES AND CHINA,"This article examines how the organizational structures and purposes of securities regulators affect securities law and its enforcement. Securities regulators in different jurisdictions can have either hierarchical or horizontal organizational structures, and their mission can be either policy-implementing or dispute-resolving. The securities regulators in China and the United States are two typical examples. The two countries can be roughly categorized as activist and reactive states, respectively. This article shows that the organizations of regulators and the disposition of governments affect the ends of securities regulation and provides some evidence that they also affect the means, which would explain the express differences in securities enforcement as well as those applied in practice. While a reactive state mainly seeks to protect investors and facilitate capital formation, an activist state tends to consider other state goals, including industrial policies and redistribution of wealth. Additionally, hierarchically organized securities regulators tend to focus more on technical rules and routines, whereas horizontally organized regulators employ more flexible standards and are better equipped to deliver substantive justice. This article contributes to the literature of law and finance and cautions against the “capital-market-centrist” view.",Legal analysis,,"The legal origin theory of law and finance has become a highly influential theory and has generated important policy implications for many countries.205 Current studies, however, focus mainly on the differences in the judicial systems across jurisdictions and have not fully considered the different institutional designs of securities regulators and their impacts on securities law and enforcement. This article thus fills an important gap in the current literature. By comparing the practice of securities regulations in China and the United States, this article identifies two theoretical models for regulatory authorities--hierarchical and horizontal--each of which may in turn pursue different goals.
The CSRC in China is closer to the hierarchical ideal, whereas the SEC is closer to the horizontal ideal. As Section III illustrates, the design of the regulatory authority in China may have contributed to the relatively formalistic regulation of the IPO process. In addition, while many other factors may account for the differences in securities law and enforcement in China and the United States, Section II describes how the CSRC often pursues state goals apart from protecting shareholders' rights and reducing corporations' cost of capital. As a result, securities regulation in China is drastically different from regulation in the United States. The theoretical framework provided in this article can also explain differences of securities regulation in other jurisdictions, including Germany, Japan, and Australia."
AN ANATOMY OF THE FIRST PERSONAL BANKRUPTCY LEGISLATION IN CHINA,"The city of Shenzhen enacted the first personal bankruptcy legislation in China, setting up a regional experiment for future national legislation. This article presents the structure and the history of the Regulations of Shenzhen Special Economic Zone on Personal Bankruptcy and analyzes the legislation's content under the fabric of the World Bank's Report on the Treatment of the Insolvency of Natural Persons. The Shenzhen Regulation adopts many universally accepted practices, but its mechanisms reflect tailoring of some mechanisms to reflect special needs arising from its unique local background. While the Shenzhen Regulation advances China towards a salient personal bankruptcy system, it still is too early to determine whether any national bankruptcy legislation in China will adopt its principles of framework in whole or in part.",Legal analysis,,"Social and economic transitions in China in the past decades highlight the necessity for a personal insolvency system. Just like their counterparts in other countries, Chinese lawmakers struggle with “negative effects caused by a rapidly rising tide of debt distress among natural persons.”224 Cautious pilot experiments continue in China in Wenzhou, Taizhou, and especially Shenzhen as it implements the first personal bankruptcy regulation in China. This experiment provides experience for future national legislation.
Evaluating the Shenzhen Regulation's core legal attributes for an effective personal insolvency system through the prism of the World Bank Report on the Treatment of the Insolvency of Natural Persons demonstrates that the Regulation contains most of the internationally recognized components for a viable system, tempered by an understanding of local needs. Nevertheless, the Regulation leaves numerous issues outstanding, such as voting rules on reconciliation agreements, handling the burdens of administrative costs, setting thresholds for access standards, incentivizing creditors' participation in *620 the system and approval of plans, and supervising trustees, to list only a few. Implementation might resolve these unsettled questions in the future, but we may not know their answers for some time and the lack of certainty should not prevent immediate improvements in the system as needs demand.
The Shenzhen Regulation offers a beneficial regime for over-indebted debtors, but scholars and policymakers still dispute how best to formulate a personal insolvency system in China, arguing over issues as general as regime design and as specific as the discharge of student loans. As a result, while the Shenzhen Regulation marks a significant achievement in Chinese commercial law, there still is a long way to go to create a complete and efficient personal insolvency system in China."
"VIAGRA DID NOT WORK, BUT MICHAEL JORDAN STILL MADE IT: TRADEMARK POLICY TOWARD THE TRANSLATION OF FOREIGN MARKS IN CHINA","Most multinational enterprises (MNEs) register their original trademarks in Roman letters in China upon entering the Chinese market. However, many fail to develop and register corresponding Chinese marks because they do not understand local culture and consumers, overvalue consumers' presumed brand loyalty, or neglect the accompanying trademark issues. This failure enables trademark squatters to register and hold the Chinese marks for ransom or local competitors to free ride on foreign marks using their Chinese translations or transliterations. This Article first introduces the complexity of translating a foreign mark into Chinese, which concerns complex linguistic, cultural, and business challenges. Based on recent court decisions, this Article systematically analyzes the legal basis on which an MNE may claim to protect the Chinese equivalent of its original trademarks. This Article then provides essential business and legal implications of China's trademark policy toward translating foreign-language marks into Chinese.",Legal analysis,,"MNEs must register the Chinese equivalents of their trademarks when exploring the Chinese market. However, given the complexity of the Chinese language and culture, there are multiple ways to translate a foreign mark into Chinese, and it is never an easy task for MNEs to choose the most desirable Chinese names. This complexity and the first-to-file trademark regime in the country have provided trademark squatters with great opportunities to hijack the Chinese equivalents of foreign marks, making it increasingly costly for MNEs to enter the Chinese market. Although several provisions in the Chinese Trademark Law protect the Chinese translations of MNEs' foreign-language trademarks, each has its limitations, and not all MNEs can effortlessly overcome them. Based on the systematic analysis of relevant court decisions, we highlight the importance of trademark strategy based on existing judicial practices and sensitivity to market and culture. We also recommend MNEs' proactive use of trademarks in Chinese, through which a stable corresponding relation can be established between the original Roman-letter marks and their Chinese equivalents."
"TIANXIA, OR ANOTHER GROSSRAUM? U.S.--CHINA COMPETITION AND PARADIGM CHANGE IN THE INTERNATIONAL LEGAL ORDER","In this Essay, I try to provide some clarification on the concept of Tianxia from the perspectives of both classical Chinese philosophy and constitutional theory, which Tom Ginsburg nominated as the source of authoritarian international law. My observation is that a paradigm shift is occurring in the international legal order. Tianxia designates the ideal relationships between states in the Chinese classics. And in the new paradigm, Tianxia is expected to integrate the international society. In that sense, I take Tianxia as a regime-neutral ideotype between democratic/Western and authoritarian/non-Western legal order. However, Chinese engagement with international law has shown a tendency towards realism since 1949, and at the root of that realism is Western nationalism. In Carl Schmitt's theory, the latter will finally bring about the plurality of spatial legal order (Grossraum), which gives birth to national and regional legal systems. Accordingly, it is still too early to tell whether China is willing take advantage of the transition to Tianxia.",Legal analysis (law and philosophy),,"Both Hegel and Francis Fukuyama made the fatal error of excluding the non-Western civilization from world history. The new paradigm of international law should be determined not to repeat their mistake. If Jack Balkin can publish a commentary on I Ching and Tom Ginsburg can explain Confucian and Buddhist constitutions, there is no reason to exclude scholars and lawyers affiliated with Western values from taking part in the interpretation of Tianxia."
RETOOLING SANCTIONS: CHINA'S CHALLENGE TO THE LIBERAL INTERNATIONAL ORDER,"Professor Tom Ginsburg has produced yet another classic of transnational law, political science, and international relations. Democracies and International Law yields important insights into the democratic nature of international law but cautions that authoritarian states can apply these very legal technologies for repressive or antidemocratic purposes. Building on Ginsburg's theories of mimicry and repurposing, this contribution highlights the role of both techniques in the creation of China's economic sanctions program. On the one hand, China has developed a basic set of tools to impose economic sanctions--a key instrument in the liberal international toolkit--on foreign entities and persons. In so doing, China has adopted elements of American economic sanctions, as well as European directives, to blunt the force of foreign sanctions. On the other hand, China has deployed sanctions for anti-democratic purposes, including squelching free speech, freedom of thought, and academic inquiry. While a full discussion of China's sanctions regime (itself a project under construction) is still premature, the initial imposition of sanctions suggests China is trying to accomplish very different aims than the liberal states that pioneered economic sanctions in the twentieth century.",Legal analysis,,"Professor Ginsburg's Democracy and International Law provides much food for thought on the ways that liberal democracies differ from repressive autocracies in drafting, interpreting, and using international law. In this brief contribution, we have charted how China took an instrument from the toolkit of liberal internationalism and repurposed it into a weapon with which to punish its critics. Western states developed economic sanctions to inflict limited reputational, financial, and operational damage on state or corporate actors engaging in human rights abuses or anti-democratic behavior. To be sure, one can criticize the scope, breadth, and aim of these sanctions, and the extraterritorial effects they bring to bear on actors far beyond American or European shores. Nevertheless, Western sanctions do not generally apply to people for beliefs, opinions, or criticisms they espouse.
China's sanctions regime, up until the present, remains rudimentary. No doubt it will expand in scope, complexity, and sophistication in the years to come. But the past year has already yielded insights into how China will apply sanctions in the short to medium term. It is telling that China has not publicly sanctioned any corporations--perhaps to mollify fears from foreign (non-Chinese) investors about conducting business with a country subject to a widening web of international sanctions. China has, of course, imposed sanctions on high-level political actors from Europe and North America, generally in response to sanctions from those same Western states--a clear instance of mimicry. Where China is breaking new ground--repurposing the sanctions regime--is in targeting foreign critics of the People's Republic. This use of sanctions raises obvious concerns for academics, experts, and observers, whose careers may depend upon access to China. But it also shows how China uses law to advance authoritarian aims: to limit speech, to deflect criticism, and to turn public opinion against those who dare question China's actions or motives."
